SRC_ID,DST_ID,SRC_NAME,DST_NAME
g298249-d7602112,04101cc3290030855,仙台市天文台,仙台市天文台
g1121220-d1313170,22427ac2100124748,徳山浅間神社の鳥居杉(夫婦杉),徳山浅間神社の鳥居杉（夫婦杉）
g1021158-d7320767,18362cc3290030244,藤野厳九郎記念館,藤野厳九郎記念館
g1022324-d319898,05423cc3290029980,角館樺細工伝承館,角館樺細工伝承館
g651652-d4344757,12208cc3290032813,野田市郷土博物館,野田市郷土博物館
guide000000170783,47326ca3280141321,アメリカンビレッジ,美浜アメリカンビレッジ
g298174-d6912481,guide000000191154,ペリー公園,ペリー公園
guide000000178166,guide000000183240,丸鉄園,丸鉄園
g298210-d1818580,46324ah3330041987,開聞山麓自然公園,開聞山麓自然公園
29450cb3530133799,29450ab2030004624,池原ダム,池原ダム湖
g1120398-d1385382,02321ab2040144723,くろくまの滝,くろくまの滝
guide000000135008,35321ah3332030416,蜂ヶ峯総合公園,蜂ヶ峯総合公園
g1019680-d1369912,24202ae2192011896,四郷郷土資料館,四郷郷土資料館
g1120615-d8150162,20485ag2130148714,長谷寺,長谷寺
g1022354-d10838942,g1022354-d8004411,正善寺,正善寺
g1021256-d9990071,12224cc3362002169,さわやかプラザ軽井沢,さわやかプラザ軽井沢
g298224-d7595911,guide000000191994,牧志公園,牧志公園
g654326-d3441961,27201ag2130010743,妙国寺,妙国寺
g298566-d10765507,27127ae2192003627,大江橋,大江橋
g298564-d2146024,guide000000193401,京都市市民防災センター,京都市市民防災センター
g1021236-d1424259,17202ag2130012618,長齢寺,長齢寺
g1021259-d6759477,12226cc3310040420,高宕山自然動物園,高宕山自然動物園
g1120962-d8148992,06302ae2180114623,柏倉家住宅,柏倉家住宅
g1120624-d13015870,20590cc3292029514,飯綱町いいづなアップルミュージアム,いいづなアップルミュージアム
g1059454-d3154248,guide000000182538,グリランド,グリランド
g1021357-d3634016,15225ae2182074468,目黒邸,目黒邸
20212ae2182029134,20583ae2182070246,旧中村家住宅,中村家住宅
g1021223-d8671300,08502ah3332001646,宮山ふるさとふれあい公園,宮山ふるさとふれあい公園
g298564-d548259,guide000000185109,大谷本廟,大谷本廟
g1021412-d1397050,11322ah3332013732,大井弁天の森,大井弁天の森
g1120888-d1424131,01545cc3290031450,知床自然センター,知床自然センター
g1121560-d1424974,44461cd2110077387,筋湯温泉,筋湯温泉
g1066446-d8778372,13119cc3300033810,板橋区立美術館,板橋区立美術館
g1022325-d10359087,05441ai2240131515,増田の朝市,増田の朝市
g298223-d10407340,guide000000185799,CHORO,CHORO
g1023582-d8830653,guide000000180078,黒壁体験教室,黒壁体験教室
g1120880-d10235092,01488cc3300033964,金田心象書道美術館,金田心象書道美術館
g298161-d8358712,12211aa1032095685,空の駅さくら館,空の駅さくら館
g1121277-d7369303,26303ag2130015697,観音寺(山崎聖天),観音寺（山崎聖天）
g651653-d7240856,10321ca3440056434,高崎KGカントリークラブ,高崎KGカントリークラブ
g1091144-d12883525,guide000000181201,伊豆大島ダイビングセンター,伊豆大島ダイビングセンター
g1022937-d1823512,46222ca3372036922,タラソ奄美の竜宮,タラソ奄美の竜宮
g1119912-d11667681,guide000000188971,であい橋,であい橋
g1021160-d1314922,alikejpB000733475,東尋坊タワー,東尋坊タワー
g1121369-d8288569,guide000000169702,住雲寺,住雲寺
g1022377-d8149809,guide000000186371,七夕神社,七夕神社
g298211-d324653,46201aj2200025772,西郷隆盛銅像,西郷隆盛銅像
g298183-d1425337,09201ad2250139450,大谷資料館,大谷資料館
g298215-d1232968,45201ag2130011670,青島神社,青島神社
g298564-d321414,26108cc3540060127,東映太秦映画村,東映太秦映画村
g1120351-d13127475,01460aj2200023179,条武子歌碑,九条武子歌碑
g1121359-d10000753,30407cd2110077616,串本温泉浴場 サンゴの湯,串本温泉浴場　サンゴの湯
g298198-d8779479,29201ag2130014863,漢国神社,漢国神社
g298568-d1819535,guide000000153979,あぐりの丘,あぐりの丘
g1121004-d1383980,07442ag2130155239,関山観音,関山観音
g1120969-d8573948,06362af2160017439,山刀伐峠,山刀伐峠
g325580-d1309450,23215ag2130010369,寂光院,寂光院
g303161-d9835131,g303161-d8309463,弘前城史料館,弘前城史料館
g298120-d13022784,15107ca3372088669,西総合スポーツセンター,新潟市西総合スポーツセンター
g1023673-d8148937,06205ae2180022227,旧矢作家住宅,旧矢作家住宅
guide000000178269,44202cb3542046241,別府競輪,別府競輪場
g1021231-d8289315,08503ag2130009439,薬王院,薬王院
g298131-d12833005,34207ag2130014899,医王寺,医王寺
g1021353-d3864450,15222ah3332089777,新潟県立大潟水と森公園,県立大潟水と森公園
g298234-d1383713,39201ab2050007368,桂浜,桂浜
g1021420-d9805946,guide000000186849,足利まちなか遊学館,足利まちなか遊学館
g298120-d6817012,guide000000117007,新潟市美術館,新潟市美術館
g678355-d6817177,36202cc3302012509,鳴門ガレの森美術館,鳴門ガレの森美術館
25364ae2190023086,25364ab2030005323,青土ダム,青土ダム湖
g1121462-d8512923,39412ae3342085425,海洋堂かっぱ館,海洋堂かっぱ館
g298560-d1384186,01101ah3330040784,円山公園,円山公園
g1023580-d8326784,25205ag2130014020,河桁御河辺神社,河桁御河辺神社
g1019693-d13018744,21463cc3300156332,武芸川ふるさと館,関市武芸川ふるさと館
g1022819-d1724684,28204cb3542069122,キッザニア甲子園,キッザニア甲子園
